latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
47.43932,131.88289,302.97,1.09,1.04,2023-04-09,0206,T,54,6.1NRT,288,4.57,D
47.43695,131.89688,301.3,1.09,1.04,2023-04-09,0206,T,46,6.1NRT,287.43,3.59,D
47.52467,131.25806,302.41,1.05,1.02,2023-04-09,0206,T,46,6.1NRT,288.17,2.66,D
48.2211,126.21194,313.31,1.13,1.06,2023-04-09,0206,T,73,6.1NRT,293.25,9.56,D
48.13845,126.2157,314.79,1.13,1.06,2023-04-09,0206,T,70,6.1NRT,295.04,10.2,D
48.08454,126.67145,303.03,1.1,1.04,2023-04-09,0206,T,47,6.1NRT,287.59,3.65,D
48.11278,126.27067,310.16,1.13,1.06,2023-04-09,0206,T,52,6.1NRT,293.87,5.73,D
48.1172,126.14861,322.72,1.14,1.06,2023-04-09,0206,T,81,6.1NRT,294.68,17.63,D
48.11337,126.14101,310.76,1.14,1.06,2023-04-09,0206,T,42,6.1NRT,295.36,7.82,D
48.1116,126.15601,318.86,1.14,1.06,2023-04-09,0206,T,78,6.1NRT,294.31,15.84,D
48.25671,124.46571,308.82,1.32,1.14,2023-04-09,0206,T,57,6.1NRT,292.79,6.32,D
47.98546,126.36276,312,1.12,1.05,2023-04-09,0206,T,70,6.1NRT,291.52,9.2,D
47.9837,126.37743,317.99,1.12,1.05,2023-04-09,0206,T,77,6.1NRT,291.45,15.29,D
47.98196,126.39201,304.37,1.11,1.05,2023-04-09,0206,T,32,6.1NRT,289.05,3.17,D
47.98317,126.30144,330.23,1.12,1.06,2023-04-09,0206,T,86,6.1NRT,292.76,30.04,D
47.98141,126.31621,310.19,1.12,1.05,2023-04-09,0206,T,61,6.1NRT,291.91,6.97,D
48.28593,123.32451,308.15,1.49,1.21,2023-04-09,0206,T,55,6.1NRT,291.12,7.81,D
46.7739,134.06224,303.88,1.34,1.15,2023-04-09,0206,T,43,6.1NRT,282.45,10.51,D
47.9645,126.2967,327.13,1.12,1.06,2023-04-09,0206,T,58,6.1NRT,291.83,22.65,D
47.96275,126.31155,328.85,1.12,1.05,2023-04-09,0206,T,64,6.1NRT,291.89,25.33,D
47.94583,126.29203,323.35,1.12,1.06,2023-04-09,0206,T,81,6.1NRT,288.53,19.66,D
47.94409,126.30679,320.48,1.12,1.05,2023-04-09,0206,T,79,6.1NRT,289.41,16.22,D
47.8396,126.57323,302.27,1.1,1.04,2023-04-09,0206,T,39,6.1NRT,283.62,3.88,D
47.86686,126.26498,311.52,1.12,1.06,2023-04-09,0206,T,68,6.1NRT,289.49,9.05,D
47.86512,126.27972,308.9,1.12,1.05,2023-04-09,0206,T,64,6.1NRT,288.78,6.73,D
47.75129,127.06091,300.67,1.06,1.03,2023-04-09,0206,T,40,6.1NRT,276.65,4.58,D
47.81064,126.41653,308.3,1.11,1.05,2023-04-09,0206,T,36,6.1NRT,288.57,5.34,D
47.80557,126.40926,307.97,1.11,1.05,2023-04-09,0206,T,42,6.1NRT,288.32,5.36,D
47.80381,126.42376,313.37,1.11,1.05,2023-04-09,0206,T,72,6.1NRT,288.04,10.1,D
47.78524,126.41914,309.9,1.11,1.05,2023-04-09,0206,T,59,6.1NRT,287.1,7.13,D
47.73416,126.76026,305.91,1.08,1.04,2023-04-09,0206,T,53,6.1NRT,279.89,6.89,D
47.70407,126.92683,301.06,1.07,1.03,2023-04-09,0206,T,18,6.1NRT,278.07,3.39,D
47.04515,131.44598,304.88,1.07,1.03,2023-04-09,0206,T,60,6.1NRT,292.96,4.79,D
47.75439,126.27607,306.21,1.12,1.05,2023-04-09,0206,T,58,6.1NRT,288.31,4.24,D
47.75266,126.29076,311.94,1.12,1.05,2023-04-09,0206,T,70,6.1NRT,288.38,9.09,D
47.12023,130.8174,301.18,1.04,1.02,2023-04-09,0206,T,28,6.1NRT,287.14,2.59,D
47.02727,131.38182,316.52,1.07,1.03,2023-04-09,0206,T,77,6.1NRT,290.8,13.35,D
47.65548,127.01482,300.29,1.07,1.03,2023-04-09,0206,T,32,6.1NRT,276.87,3.33,D
47.0076,131.33948,339.33,1.07,1.03,2023-04-09,0206,T,91,6.1NRT,295.37,44.3,D
47.00534,131.35309,305.95,1.07,1.03,2023-04-09,0206,T,52,6.1NRT,292.98,5.14,D
46.97836,131.34357,309.34,1.07,1.03,2023-04-09,0206,T,33,6.1NRT,292.77,7,D
46.97609,131.35718,326.78,1.07,1.03,2023-04-09,0206,T,85,6.1NRT,290.31,24.74,D
46.95326,131.49387,302.29,1.08,1.04,2023-04-09,0206,T,35,6.1NRT,289.88,3.97,D
